year,acs_period,geography_type,geography_id,geography_name,total_population,median_household_income
2009,2005-2009,Place,00320,Acres Green CDP,3233,78000
2010,2006-2010,Place,00320,Acres Green CDP,3117,81173
2011,2007-2011,Place,00320,Acres Green CDP,3165,83175
2012,2008-2012,Place,00320,Acres Green CDP,3301,85369
2013,2009-2013,Place,00320,Acres Green CDP,3179,86111
2014,2010-2014,Place,00320,Acres Green CDP,3035,84429
2015,2011-2015,Place,00320,Acres Green CDP,2921,84479
2016,2012-2016,Place,00320,Acres Green CDP,2926,84717
2017,2013-2017,Place,00320,Acres Green CDP,2824,85556
2018,2014-2018,Place,00320,Acres Green CDP,2899,98365
2019,2015-2019,Place,00320,Acres Green CDP,3100,99899
2020,2016-2020,Place,00320,Acres Green CDP,2888,102000
2021,2017-2021,Place,00320,Acres Green CDP,2732,97941
2022,2018-2022,Place,00320,Acres Green CDP,2627,124219
2023,2019-2023,Place,00320,Acres Green CDP,2709,115536
2024,2020-2024,Place,00320,Acres Green CDP,2639,142361
2010,2006-2010,Place,00620,Aetna Estates CDP,564,49417
2011,2007-2011,Place,00620,Aetna Estates CDP,658,39766
2012,2008-2012,Place,00620,Aetna Estates CDP,978,56696
2013,2009-2013,Place,00620,Aetna Estates CDP,814,59811
2014,2010-2014,Place,00620,Aetna Estates CDP,1031,55647
2015,2011-2015,Place,00620,Aetna Estates CDP,1165,55150
2016,2012-2016,Place,00620,Aetna Estates CDP,1366,47132
2017,2013-2017,Place,00620,Aetna Estates CDP,1352,46250
2018,2014-2018,Place,00620,Aetna Estates CDP,1475,42399
2019,2015-2019,Place,00620,Aetna Estates CDP,1398,44719
2020,2016-2020,Place,00620,Aetna Estates CDP,1231,53832
2021,2017-2021,Place,00620,Aetna Estates CDP,1255,56342
2022,2018-2022,Place,00620,Aetna Estates CDP,1194,60857
2023,2019-2023,Place,00620,Aetna Estates CDP,1177,63887
2024,2020-2024,Place,00620,Aetna Estates CDP,1010,74853
2009,2005-2009,Place,00760,Aguilar town,538,34079
2010,2006-2010,Place,00760,Aguilar town,466,35163
2011,2007-2011,Place,00760,Aguilar town,596,34181
2012,2008-2012,Place,00760,Aguilar town,562,34500
2013,2009-2013,Place,00760,Aguilar town,498,30682
2014,2010-2014,Place,00760,Aguilar town,563,34750
2015,2011-2015,Place,00760,Aguilar town,660,36701
2016,2012-2016,Place,00760,Aguilar town,491,36071
2017,2013-2017,Place,00760,Aguilar town,559,35673
2018,2014-2018,Place,00760,Aguilar town,485,36029
2019,2015-2019,Place,00760,Aguilar town,477,34875
2020,2016-2020,Place,00760,Aguilar town,492,24810
2021,2017-2021,Place,00760,Aguilar town,477,30156
2022,2018-2022,Place,00760,Aguilar town,456,27066
2023,2019-2023,Place,00760,Aguilar town,442,29593
2024,2020-2024,Place,00760,Aguilar town,401,28795
2009,2005-2009,Place,00870,Air Force Academy CDP,7451,70882
2010,2006-2010,Place,00870,Air Force Academy CDP,8257,67083
2011,2007-2011,Place,00870,Air Force Academy CDP,7240,67500
2012,2008-2012,Place,00870,Air Force Academy CDP,6816,80875
2013,2009-2013,Place,00870,Air Force Academy CDP,6362,76652
2014,2010-2014,Place,00870,Air Force Academy CDP,6046,68914
2015,2011-2015,Place,00870,Air Force Academy CDP,5864,65795
2016,2012-2016,Place,00870,Air Force Academy CDP,5957,71705
2017,2013-2017,Place,00870,Air Force Academy CDP,6098,70179
2018,2014-2018,Place,00870,Air Force Academy CDP,6633,67083
2019,2015-2019,Place,00870,Air Force Academy CDP,6512,78750
2020,2016-2020,Place,00870,Air Force Academy CDP,6368,75750
2021,2017-2021,Place,00870,Air Force Academy CDP,6170,72813
2022,2018-2022,Place,00870,Air Force Academy CDP,6665,79250
2023,2019-2023,Place,00870,Air Force Academy CDP,6701,93889
2024,2020-2024,Place,00870,Air Force Academy CDP,6727,69474
2009,2005-2009,Place,00925,Akron town,1610,32125
2010,2006-2010,Place,00925,Akron town,1691,31875
2011,2007-2011,Place,00925,Akron town,1756,39712
2012,2008-2012,Place,00925,Akron town,1791,40000
2013,2009-2013,Place,00925,Akron town,1838,41250
2014,2010-2014,Place,00925,Akron town,1906,38889
2015,2011-2015,Place,00925,Akron town,1903,40972
2016,2012-2016,Place,00925,Akron town,2003,41304
2017,2013-2017,Place,00925,Akron town,2116,42500
2018,2014-2018,Place,00925,Akron town,2083,39773
2019,2015-2019,Place,00925,Akron town,2046,46176
2020,2016-2020,Place,00925,Akron town,2073,42500
2021,2017-2021,Place,00925,Akron town,1793,41708
2022,2018-2022,Place,00925,Akron town,1675,52813
2023,2019-2023,Place,00925,Akron town,1681,59470
2024,2020-2024,Place,00925,Akron town,1722,57321
2009,2005-2009,Place,01145,Alamosa East CDP,1889,43712
2010,2006-2010,Place,01145,Alamosa East CDP,2031,38590
2011,2007-2011,Place,01145,Alamosa East CDP,1862,45221
2012,2008-2012,Place,01145,Alamosa East CDP,1992,46829
2013,2009-2013,Place,01145,Alamosa East CDP,1651,42188
2014,2010-2014,Place,01145,Alamosa East CDP,1671,32143
2015,2011-2015,Place,01145,Alamosa East CDP,1576,49200
2016,2012-2016,Place,01145,Alamosa East CDP,1690,46176
2017,2013-2017,Place,01145,Alamosa East CDP,1620,46080
2018,2014-2018,Place,01145,Alamosa East CDP,1439,64261
2019,2015-2019,Place,01145,Alamosa East CDP,1295,54150
2020,2016-2020,Place,01145,Alamosa East CDP,987,37317
2021,2017-2021,Place,01145,Alamosa East CDP,1384,
2022,2018-2022,Place,01145,Alamosa East CDP,1319,
2023,2019-2023,Place,01145,Alamosa East CDP,1404,44741
2024,2020-2024,Place,01145,Alamosa East CDP,1298,76683
2009,2005-2009,Place,01090,Alamosa city,8714,28271
2010,2006-2010,Place,01090,Alamosa city,8693,31398
2011,2007-2011,Place,01090,Alamosa city,8752,30810
2012,2008-2012,Place,01090,Alamosa city,9097,28602
2013,2009-2013,Place,01090,Alamosa city,9273,26797
2014,2010-2014,Place,01090,Alamosa city,9427,26057
2015,2011-2015,Place,01090,Alamosa city,9592,27850
2016,2012-2016,Place,01090,Alamosa city,9671,28167
2017,2013-2017,Place,01090,Alamosa city,9675,32785
2018,2014-2018,Place,01090,Alamosa city,9780,34840
2019,2015-2019,Place,01090,Alamosa city,9441,35085
2020,2016-2020,Place,01090,Alamosa city,9360,38000
2021,2017-2021,Place,01090,Alamosa city,9704,43153
2022,2018-2022,Place,01090,Alamosa city,9792,50239
2023,2019-2023,Place,01090,Alamosa city,9847,46969
2024,2020-2024,Place,01090,Alamosa city,9879,49688
2009,2005-2009,Place,01420,Allenspark CDP,418,56250
2010,2006-2010,Place,01420,Allenspark CDP,459,65208
2011,2007-2011,Place,01420,Allenspark CDP,481,69630
2012,2008-2012,Place,01420,Allenspark CDP,393,67188
2013,2009-2013,Place,01420,Allenspark CDP,547,46250
2014,2010-2014,Place,01420,Allenspark CDP,632,47466
2015,2011-2015,Place,01420,Allenspark CDP,673,46981
2016,2012-2016,Place,01420,Allenspark CDP,575,47364
2017,2013-2017,Place,01420,Allenspark CDP,503,49500
2018,2014-2018,Place,01420,Allenspark CDP,401,72000
2019,2015-2019,Place,01420,Allenspark CDP,433,93021
2020,2016-2020,Place,01420,Allenspark CDP,464,113250
2021,2017-2021,Place,01420,Allenspark CDP,574,130313
2022,2018-2022,Place,01420,Allenspark CDP,622,144265
2023,2019-2023,Place,01420,Allenspark CDP,826,125048
2024,2020-2024,Place,01420,Allenspark CDP,825,108056
2009,2005-2009,Place,01530,Alma town,167,29938
2010,2006-2010,Place,01530,Alma town,176,45625
2011,2007-2011,Place,01530,Alma town,204,31000
2012,2008-2012,Place,01530,Alma town,389,62500
2013,2009-2013,Place,01530,Alma town,296,45625
2014,2010-2014,Place,01530,Alma town,348,55313
2015,2011-2015,Place,01530,Alma town,302,45000
2016,2012-2016,Place,01530,Alma town,316,45750
2017,2013-2017,Place,01530,Alma town,356,38625
2018,2014-2018,Place,01530,Alma town,387,37554
2019,2015-2019,Place,01530,Alma town,377,31964
2020,2016-2020,Place,01530,Alma town,290,30333
2021,2017-2021,Place,01530,Alma town,323,45893
2022,2018-2022,Place,01530,Alma town,396,50795
2023,2019-2023,Place,01530,Alma town,242,52727
2024,2020-2024,Place,01530,Alma town,385,
2010,2006-2010,Place,01640,Alpine CDP,17,
2011,2007-2011,Place,01640,Alpine CDP,38,
2012,2008-2012,Place,01640,Alpine CDP,53,
2013,2009-2013,Place,01640,Alpine CDP,47,
2014,2010-2014,Place,01640,Alpine CDP,137,25577
2015,2011-2015,Place,01640,Alpine CDP,146,
2016,2012-2016,Place,01640,Alpine CDP,195,
2017,2013-2017,Place,01640,Alpine CDP,244,
2018,2014-2018,Place,01640,Alpine CDP,390,
2019,2015-2019,Place,01640,Alpine CDP,258,
2020,2016-2020,Place,01640,Alpine CDP,202,
2021,2017-2021,Place,01640,Alpine CDP,265,
2022,2018-2022,Place,01640,Alpine CDP,219,
2023,2019-2023,Place,01640,Alpine CDP,99,
2024,2020-2024,Place,01640,Alpine CDP,75,
2010,2006-2010,Place,01740,Altona CDP,302,34808
2011,2007-2011,Place,01740,Altona CDP,392,77727
2012,2008-2012,Place,01740,Altona CDP,512,93500
2013,2009-2013,Place,01740,Altona CDP,512,93548
2014,2010-2014,Place,01740,Altona CDP,544,91125
2015,2011-2015,Place,01740,Altona CDP,550,90114
2016,2012-2016,Place,01740,Altona CDP,386,
2017,2013-2017,Place,01740,Altona CDP,385,68500
2018,2014-2018,Place,01740,Altona CDP,442,71016
2019,2015-2019,Place,01740,Altona CDP,513,176071
2020,2016-2020,Place,01740,Altona CDP,479,230125
2021,2017-2021,Place,01740,Altona CDP,557,196705
2022,2018-2022,Place,01740,Altona CDP,531,250001
2023,2019-2023,Place,01740,Altona CDP,532,250001
2024,2020-2024,Place,01740,Altona CDP,587,149327
2010,2006-2010,Place,01915,Amherst CDP,70,
2011,2007-2011,Place,01915,Amherst CDP,71,
2012,2008-2012,Place,01915,Amherst CDP,0,
2013,2009-2013,Place,01915,Amherst CDP,19,
2014,2010-2014,Place,01915,Amherst CDP,35,
2015,2011-2015,Place,01915,Amherst CDP,56,
2016,2012-2016,Place,01915,Amherst CDP,48,
2017,2013-2017,Place,01915,Amherst CDP,221,
2018,2014-2018,Place,01915,Amherst CDP,195,41458
2019,2015-2019,Place,01915,Amherst CDP,178,42438
2020,2016-2020,Place,01915,Amherst CDP,154,
2021,2017-2021,Place,01915,Amherst CDP,252,88050
2022,2018-2022,Place,01915,Amherst CDP,77,
2023,2019-2023,Place,01915,Amherst CDP,84,
2024,2020-2024,Place,01915,Amherst CDP,82,
2009,2005-2009,Place,02355,Antonito town,826,26071
2010,2006-2010,Place,02355,Antonito town,734,21750
2011,2007-2011,Place,02355,Antonito town,684,22188
2012,2008-2012,Place,02355,Antonito town,715,23056
2013,2009-2013,Place,02355,Antonito town,722,20972
2014,2010-2014,Place,02355,Antonito town,774,22109
2015,2011-2015,Place,02355,Antonito town,757,21087
2016,2012-2016,Place,02355,Antonito town,789,23472
2017,2013-2017,Place,02355,Antonito town,806,25800
2018,2014-2018,Place,02355,Antonito town,645,20625
2019,2015-2019,Place,02355,Antonito town,656,20268
2020,2016-2020,Place,02355,Antonito town,730,27686
2021,2017-2021,Place,02355,Antonito town,612,27237
2022,2018-2022,Place,02355,Antonito town,634,28639
2023,2019-2023,Place,02355,Antonito town,681,29583
2024,2020-2024,Place,02355,Antonito town,579,35083
2009,2005-2009,Place,02575,Applewood CDP,6989,74052
2010,2006-2010,Place,02575,Applewood CDP,6689,70979
2011,2007-2011,Place,02575,Applewood CDP,6962,71573
2012,2008-2012,Place,02575,Applewood CDP,7130,73273
2013,2009-2013,Place,02575,Applewood CDP,7078,69856
2014,2010-2014,Place,02575,Applewood CDP,7467,66297
2015,2011-2015,Place,02575,Applewood CDP,7623,77987
2016,2012-2016,Place,02575,Applewood CDP,7976,79611
2017,2013-2017,Place,02575,Applewood CDP,8173,82459
2018,2014-2018,Place,02575,Applewood CDP,8308,95789
2019,2015-2019,Place,02575,Applewood CDP,8081,106962
2020,2016-2020,Place,02575,Applewood CDP,8300,106173
2021,2017-2021,Place,02575,Applewood CDP,8236,115330
2022,2018-2022,Place,02575,Applewood CDP,7985,125455
2023,2019-2023,Place,02575,Applewood CDP,8120,128988
2024,2020-2024,Place,02575,Applewood CDP,8350,130545
2020,2016-2020,Place,02850,Arapahoe CDP,56,
2021,2017-2021,Place,02850,Arapahoe CDP,20,90781
2022,2018-2022,Place,02850,Arapahoe CDP,21,99000
2023,2019-2023,Place,02850,Arapahoe CDP,43,103250
2024,2020-2024,Place,02850,Arapahoe CDP,53,106667
2009,2005-2009,Place,02905,Arboles CDP,266,14583
2010,2006-2010,Place,02905,Arboles CDP,263,31250
2011,2007-2011,Place,02905,Arboles CDP,152,33333
2012,2008-2012,Place,02905,Arboles CDP,184,37250
2013,2009-2013,Place,02905,Arboles CDP,214,37330
2014,2010-2014,Place,02905,Arboles CDP,263,39620
2015,2011-2015,Place,02905,Arboles CDP,246,40595
2016,2012-2016,Place,02905,Arboles CDP,312,39145
2017,2013-2017,Place,02905,Arboles CDP,299,42500
2018,2014-2018,Place,02905,Arboles CDP,313,43611
2019,2015-2019,Place,02905,Arboles CDP,326,40938
2020,2016-2020,Place,02905,Arboles CDP,410,54375
2021,2017-2021,Place,02905,Arboles CDP,384,49500
2022,2018-2022,Place,02905,Arboles CDP,383,53571
2023,2019-2023,Place,02905,Arboles CDP,396,42500
2024,2020-2024,Place,02905,Arboles CDP,389,42262
2009,2005-2009,Place,03015,Aristocrat Ranchettes CDP,1471,51524
2010,2006-2010,Place,03015,Aristocrat Ranchettes CDP,1622,53750
2011,2007-2011,Place,03015,Aristocrat Ranchettes CDP,1622,40694
2012,2008-2012,Place,03015,Aristocrat Ranchettes CDP,1790,54063
2013,2009-2013,Place,03015,Aristocrat Ranchettes CDP,1521,39539
2014,2010-2014,Place,03015,Aristocrat Ranchettes CDP,1492,43828
2015,2011-2015,Place,03015,Aristocrat Ranchettes CDP,1275,50403
2016,2012-2016,Place,03015,Aristocrat Ranchettes CDP,1073,49545
2017,2013-2017,Place,03015,Aristocrat Ranchettes CDP,1150,50365
2018,2014-2018,Place,03015,Aristocrat Ranchettes CDP,1100,49464
2019,2015-2019,Place,03015,Aristocrat Ranchettes CDP,1416,54226
2020,2016-2020,Place,03015,Aristocrat Ranchettes CDP,2080,60529
2021,2017-2021,Place,03015,Aristocrat Ranchettes CDP,1830,65391
2022,2018-2022,Place,03015,Aristocrat Ranchettes CDP,1987,83500
2023,2019-2023,Place,03015,Aristocrat Ranchettes CDP,2335,87604
2024,2020-2024,Place,03015,Aristocrat Ranchettes CDP,1747,83689
2009,2005-2009,Place,03235,Arriba town,182,27292
2010,2006-2010,Place,03235,Arriba town,261,34167
2011,2007-2011,Place,03235,Arriba town,226,43125
2012,2008-2012,Place,03235,Arriba town,174,36875
2013,2009-2013,Place,03235,Arriba town,179,37917
2014,2010-2014,Place,03235,Arriba town,186,36667
2015,2011-2015,Place,03235,Arriba town,188,36071
2016,2012-2016,Place,03235,Arriba town,158,31071
2017,2013-2017,Place,03235,Arriba town,141,30938
2018,2014-2018,Place,03235,Arriba town,140,31607
2019,2015-2019,Place,03235,Arriba town,184,30278
2020,2016-2020,Place,03235,Arriba town,175,22500
2021,2017-2021,Place,03235,Arriba town,229,28333
2022,2018-2022,Place,03235,Arriba town,235,27500
2023,2019-2023,Place,03235,Arriba town,279,43000
2024,2020-2024,Place,03235,Arriba town,307,43555
2009,2005-2009,Place,03455,Arvada city,105801,66125
2010,2006-2010,Place,03455,Arvada city,104885,65942
2011,2007-2011,Place,03455,Arvada city,105768,67302
2012,2008-2012,Place,03455,Arvada city,106965,68017
2013,2009-2013,Place,03455,Arvada city,108300,68210
2014,2010-2014,Place,03455,Arvada city,109800,69550
2015,2011-2015,Place,03455,Arvada city,111658,69938
2016,2012-2016,Place,03455,Arvada city,113532,72010
2017,2013-2017,Place,03455,Arvada city,115320,75640
2018,2014-2018,Place,03455,Arvada city,117251,80055
2019,2015-2019,Place,03455,Arvada city,118746,84717
2020,2016-2020,Place,03455,Arvada city,120229,92669
2021,2017-2021,Place,03455,Arvada city,122903,96677
2022,2018-2022,Place,03455,Arvada city,123066,106014
2023,2019-2023,Place,03455,Arvada city,122835,113396
2024,2020-2024,Place,03455,Arvada city,122634,117348
2009,2005-2009,Place,03730,Aspen Park CDP,1007,81250
2010,2006-2010,Place,03730,Aspen Park CDP,1077,90909
2011,2007-2011,Place,03730,Aspen Park CDP,1149,95500
2012,2008-2012,Place,03730,Aspen Park CDP,992,89583
2013,2009-2013,Place,03730,Aspen Park CDP,829,72417
2014,2010-2014,Place,03730,Aspen Park CDP,780,72167
2015,2011-2015,Place,03730,Aspen Park CDP,748,66563
2016,2012-2016,Place,03730,Aspen Park CDP,776,76250
2017,2013-2017,Place,03730,Aspen Park CDP,754,72955
2018,2014-2018,Place,03730,Aspen Park CDP,997,80250
2019,2015-2019,Place,03730,Aspen Park CDP,994,94167
2020,2016-2020,Place,03730,Aspen Park CDP,1045,93333
2021,2017-2021,Place,03730,Aspen Park CDP,962,93036
2022,2018-2022,Place,03730,Aspen Park CDP,1006,111964
2023,2019-2023,Place,03730,Aspen Park CDP,724,104732
2024,2020-2024,Place,03730,Aspen Park CDP,742,104167
2009,2005-2009,Place,03620,Aspen city,5896,56963
2010,2006-2010,Place,03620,Aspen city,6403,62458
2011,2007-2011,Place,03620,Aspen city,6509,74509
2012,2008-2012,Place,03620,Aspen city,6607,71284
2013,2009-2013,Place,03620,Aspen city,6657,71856
2014,2010-2014,Place,03620,Aspen city,6700,66635
2015,2011-2015,Place,03620,Aspen city,6740,67164
2016,2012-2016,Place,03620,Aspen city,6788,67776
2017,2013-2017,Place,03620,Aspen city,7097,64594
2018,2014-2018,Place,03620,Aspen city,7234,72973
2019,2015-2019,Place,03620,Aspen city,7431,78292
2020,2016-2020,Place,03620,Aspen city,7721,77669
2021,2017-2021,Place,03620,Aspen city,7019,89625
2022,2018-2022,Place,03620,Aspen city,6952,94338
2023,2019-2023,Place,03620,Aspen city,6862,78636
2024,2020-2024,Place,03620,Aspen city,6756,74033
2009,2005-2009,Place,03840,Atwood CDP,157,39345
2010,2006-2010,Place,03840,Atwood CDP,193,38583
2011,2007-2011,Place,03840,Atwood CDP,273,42000
2012,2008-2012,Place,03840,Atwood CDP,253,41023
2013,2009-2013,Place,03840,Atwood CDP,219,62344
2014,2010-2014,Place,03840,Atwood CDP,206,60714
2015,2011-2015,Place,03840,Atwood CDP,228,60469
2016,2012-2016,Place,03840,Atwood CDP,187,
2017,2013-2017,Place,03840,Atwood CDP,191,
2018,2014-2018,Place,03840,Atwood CDP,83,31912
2019,2015-2019,Place,03840,Atwood CDP,193,48333
2020,2016-2020,Place,03840,Atwood CDP,155,60052
2021,2017-2021,Place,03840,Atwood CDP,135,52368
2022,2018-2022,Place,03840,Atwood CDP,144,56985
2023,2019-2023,Place,03840,Atwood CDP,188,58816
2024,2020-2024,Place,03840,Atwood CDP,62,40694
2009,2005-2009,Place,03950,Ault town,1474,43696
2010,2006-2010,Place,03950,Ault town,1432,49792
2011,2007-2011,Place,03950,Ault town,1407,47955
2012,2008-2012,Place,03950,Ault town,1367,48315
2013,2009-2013,Place,03950,Ault town,1546,48654
2014,2010-2014,Place,03950,Ault town,1558,45833
2015,2011-2015,Place,03950,Ault town,1750,50368
2016,2012-2016,Place,03950,Ault town,1869,51375
2017,2013-2017,Place,03950,Ault town,2054,53047
2018,2014-2018,Place,03950,Ault town,2178,56050
2019,2015-2019,Place,03950,Ault town,1947,58560
2020,2016-2020,Place,03950,Ault town,2153,66155
2021,2017-2021,Place,03950,Ault town,1785,70351
2022,2018-2022,Place,03950,Ault town,1601,76215
2023,2019-2023,Place,03950,Ault town,2270,79654
2024,2020-2024,Place,03950,Ault town,2425,95049
2009,2005-2009,Place,04000,Aurora city,309091,49626
2010,2006-2010,Place,04000,Aurora city,314092,49515
2011,2007-2011,Place,04000,Aurora city,320166,50468
2012,2008-2012,Place,04000,Aurora city,326249,51048
2013,2009-2013,Place,04000,Aurora city,332820,50987
2014,2010-2014,Place,04000,Aurora city,339480,52275
2015,2011-2015,Place,04000,Aurora city,345867,53011
2016,2012-2016,Place,04000,Aurora city,351131,55303
2017,2013-2017,Place,04000,Aurora city,357323,58343
2018,2014-2018,Place,04000,Aurora city,363550,62541
2019,2015-2019,Place,04000,Aurora city,369111,65100
2020,2016-2020,Place,04000,Aurora city,379434,67723
2021,2017-2021,Place,04000,Aurora city,383496,72052
2022,2018-2022,Place,04000,Aurora city,387349,78685
2023,2019-2023,Place,04000,Aurora city,390201,84320
2024,2020-2024,Place,04000,Aurora city,394432,88368
2009,2005-2009,Place,04110,Avon town,6512,49544
2010,2006-2010,Place,04110,Avon town,6345,51781
2011,2007-2011,Place,04110,Avon town,6381,41971
2012,2008-2012,Place,04110,Avon town,6383,43073
2013,2009-2013,Place,04110,Avon town,6392,42449
2014,2010-2014,Place,04110,Avon town,6384,50203
2015,2011-2015,Place,04110,Avon town,6414,48022
2016,2012-2016,Place,04110,Avon town,6444,56223
2017,2013-2017,Place,04110,Avon town,6503,61791
2018,2014-2018,Place,04110,Avon town,6529,76196
2019,2015-2019,Place,04110,Avon town,6539,76303
2020,2016-2020,Place,04110,Avon town,6711,66953
2021,2017-2021,Place,04110,Avon town,6209,74450
2022,2018-2022,Place,04110,Avon town,6115,85817
2023,2019-2023,Place,04110,Avon town,6057,85364
2024,2020-2024,Place,04110,Avon town,5972,89027
2009,2005-2009,Place,04165,Avondale CDP,568,36797
2010,2006-2010,Place,04165,Avondale CDP,584,42976
2011,2007-2011,Place,04165,Avondale CDP,454,35536
2012,2008-2012,Place,04165,Avondale CDP,492,38578
2013,2009-2013,Place,04165,Avondale CDP,715,39844
2014,2010-2014,Place,04165,Avondale CDP,739,45313
2015,2011-2015,Place,04165,Avondale CDP,803,40667
2016,2012-2016,Place,04165,Avondale CDP,866,42431
2017,2013-2017,Place,04165,Avondale CDP,795,44306
2018,2014-2018,Place,04165,Avondale CDP,727,55625
2019,2015-2019,Place,04165,Avondale CDP,708,
2020,2016-2020,Place,04165,Avondale CDP,588,103393
2021,2017-2021,Place,04165,Avondale CDP,436,117991
2022,2018-2022,Place,04165,Avondale CDP,379,
2023,2019-2023,Place,04165,Avondale CDP,298,94302
2024,2020-2024,Place,04165,Avondale CDP,338,96391
2010,2006-2010,Place,04620,Bark Ranch CDP,242,112411
2011,2007-2011,Place,04620,Bark Ranch CDP,254,114375
2012,2008-2012,Place,04620,Bark Ranch CDP,246,155610
2013,2009-2013,Place,04620,Bark Ranch CDP,285,116563
2014,2010-2014,Place,04620,Bark Ranch CDP,336,133162
2015,2011-2015,Place,04620,Bark Ranch CDP,222,116985
2016,2012-2016,Place,04620,Bark Ranch CDP,224,119375
2017,2013-2017,Place,04620,Bark Ranch CDP,187,121066
2018,2014-2018,Place,04620,Bark Ranch CDP,138,
2019,2015-2019,Place,04620,Bark Ranch CDP,75,
2020,2016-2020,Place,04620,Bark Ranch CDP,107,
2021,2017-2021,Place,04620,Bark Ranch CDP,116,
2022,2018-2022,Place,04620,Bark Ranch CDP,129,
2023,2019-2023,Place,04620,Bark Ranch CDP,117,127778
2024,2020-2024,Place,04620,Bark Ranch CDP,199,115521
2009,2005-2009,Place,04935,Basalt town,3092,72368
2010,2006-2010,Place,04935,Basalt town,3674,65625
2011,2007-2011,Place,04935,Basalt town,3916,73203
2012,2008-2012,Place,04935,Basalt town,3954,68750
2013,2009-2013,Place,04935,Basalt town,3742,69902
2014,2010-2014,Place,04935,Basalt town,3891,68494
2015,2011-2015,Place,04935,Basalt town,3791,69583
2016,2012-2016,Place,04935,Basalt town,3783,71885
2017,2013-2017,Place,04935,Basalt town,3849,73490
2018,2014-2018,Place,04935,Basalt town,3955,72167
2019,2015-2019,Place,04935,Basalt town,3847,81038
2020,2016-2020,Place,04935,Basalt town,3941,100551
2021,2017-2021,Place,04935,Basalt town,3802,104605
2022,2018-2022,Place,04935,Basalt town,3815,103049
2023,2019-2023,Place,04935,Basalt town,3995,106000
2024,2020-2024,Place,04935,Basalt town,4335,105855
2009,2005-2009,Place,05120,Battlement Mesa CDP,4724,50438
2010,2006-2010,Place,05120,Battlement Mesa CDP,4967,57109
2011,2007-2011,Place,05120,Battlement Mesa CDP,4933,58445
2012,2008-2012,Place,05120,Battlement Mesa CDP,4846,69896
2013,2009-2013,Place,05120,Battlement Mesa CDP,5002,69120
2014,2010-2014,Place,05120,Battlement Mesa CDP,4540,64948
2015,2011-2015,Place,05120,Battlement Mesa CDP,4689,71317
2016,2012-2016,Place,05120,Battlement Mesa CDP,4835,65855
2017,2013-2017,Place,05120,Battlement Mesa CDP,5072,66979
2018,2014-2018,Place,05120,Battlement Mesa CDP,4735,68281
2019,2015-2019,Place,05120,Battlement Mesa CDP,5116,68188
2020,2016-2020,Place,05120,Battlement Mesa CDP,4870,65435
2021,2017-2021,Place,05120,Battlement Mesa CDP,5220,67645
2022,2018-2022,Place,05120,Battlement Mesa CDP,5148,66737
2023,2019-2023,Place,05120,Battlement Mesa CDP,5402,69432
2024,2020-2024,Place,05120,Battlement Mesa CDP,5755,76152
2009,2005-2009,Place,05265,Bayfield town,2115,53849
2010,2006-2010,Place,05265,Bayfield town,2090,53380
2011,2007-2011,Place,05265,Bayfield town,2083,56506
2012,2008-2012,Place,05265,Bayfield town,2110,57862
2013,2009-2013,Place,05265,Bayfield town,2024,57941
2014,2010-2014,Place,05265,Bayfield town,2435,61610
2015,2011-2015,Place,05265,Bayfield town,2478,64087
2016,2012-2016,Place,05265,Bayfield town,2527,64563
2017,2013-2017,Place,05265,Bayfield town,2576,59185
2018,2014-2018,Place,05265,Bayfield town,2612,61045
2019,2015-2019,Place,05265,Bayfield town,2640,62285
2020,2016-2020,Place,05265,Bayfield town,2550,65357
2021,2017-2021,Place,05265,Bayfield town,2821,76176
2022,2018-2022,Place,05265,Bayfield town,2853,84609
2023,2019-2023,Place,05265,Bayfield town,2862,92821
2024,2020-2024,Place,05265,Bayfield town,2901,93125
2009,2005-2009,Place,06090,Bennett town,2287,60865
2010,2006-2010,Place,06090,Bennett town,2186,60523
2011,2007-2011,Place,06090,Bennett town,2137,57313
2012,2008-2012,Place,06090,Bennett town,1996,58860
2013,2009-2013,Place,06090,Bennett town,1900,53333
2014,2010-2014,Place,06090,Bennett town,1898,50094
2015,2011-2015,Place,06090,Bennett town,1915,50750
2016,2012-2016,Place,06090,Bennett town,2097,51391
2017,2013-2017,Place,06090,Bennett town,2291,51708
2018,2014-2018,Place,06090,Bennett town,2202,54701
2019,2015-2019,Place,06090,Bennett town,2358,63750
2020,2016-2020,Place,06090,Bennett town,2603,64107
2021,2017-2021,Place,06090,Bennett town,2964,73476
2022,2018-2022,Place,06090,Bennett town,3299,82035
2023,2019-2023,Place,06090,Bennett town,3472,92450
2024,2020-2024,Place,06090,Bennett town,3663,107736
2009,2005-2009,Place,06172,Berkley CDP,11185,35146
2010,2006-2010,Place,06172,Berkley CDP,12113,36013
2011,2007-2011,Place,06172,Berkley CDP,12149,44050
2012,2008-2012,Place,06172,Berkley CDP,12021,42014
2013,2009-2013,Place,06172,Berkley CDP,11721,44085
2014,2010-2014,Place,06172,Berkley CDP,11706,49398
2015,2011-2015,Place,06172,Berkley CDP,11599,48214
2016,2012-2016,Place,06172,Berkley CDP,11594,51060
2017,2013-2017,Place,06172,Berkley CDP,11868,56606
2018,2014-2018,Place,06172,Berkley CDP,11822,59492
2019,2015-2019,Place,06172,Berkley CDP,11879,61788
2020,2016-2020,Place,06172,Berkley CDP,11299,69722
2021,2017-2021,Place,06172,Berkley CDP,10920,71183
