ein,founding_year,ruling_date,name,city,state,zip,subsection,foundation_code,ntee_code,asset_amount,income_amount,revenue_amount,found_in_bmf
043622520,2002,200206,MESSIANIC JEWISH BIBLE SOCIETY INC,PUEBLO,CO,81008-8900,03,15,X30,8074807,2522279,2522279,Y
043623700,,,,,,,,,,,,,N
043630442,2002,200204,CASA OF PUEBLO,PUEBLO,CO,81004-4224,03,15,I80,1993051,1413510,1352647,Y
043632821,,,,,,,,,,,,,N
043737768,2003,200309,CENTER FOR SNOW AND AVALANCHE STUDIES,SILVERTON,CO,81433-0190,03,15,C053,209869,255702,255702,Y
043763688,2003,200308,COOPER CREEK SQUARE MERCHANTS ASSOCIATION,LAKEWOOD,CO,80214-2554,06,00,S41,55379,259999,259999,Y
043770168,2004,200401,WHEAT RIDGE FOUNDATION,WHEAT RIDGE,CO,80033-4125,03,15,N11,432870,151969,140752,Y
043827155,2014,201406,CHRIST FOR LIFE MINISTRY INC,STEAMBOAT SPR,CO,80487-5222,03,15,O55,79402,285660,278182,Y
043836529,2006,200603,LESSONS FOR LIFE MINISTRIES,COLORADO SPGS,CO,80909-5702,03,15,X20,131028,108763,108763,Y
043837171,,,,,,,,,,,,,N
043840559,2008,200803,NEW HOPE CATTLE DOGS RESCUE & REHOMING,AURORA,CO,80046-0064,03,15,D20,55167,146212,146212,Y
046045668,,,,,,,,,,,,,N
046059578,1944,194403,VINTAGE MOTOR CAR CLUB OF AMERICA INC,COLORADO SPGS,CO,80911-2320,07,00,,161953,117667,117638,Y
046129772,1965,196511,PALEONTOLOGICAL SOCIETY,EATON,CO,80615-3495,03,16,A72Z,5800138,1345744,634843,Y
046130037,2024,202401,AATSEEL,BOULDER,CO,80309-0001,03,16,B03,239875,228447,228447,Y
050530010,,,,,,,,,,,,,N
050534149,,,,,,,,,,,,,N
050538134,,,,,,,,,,,,,N
050538755,,,,,,,,,,,,,N
050540372,2003,200302,HEELING PARTNERS OF THE ROARING FORK VALLEY INC,GLENWOOD SPGS,CO,81601-2603,03,16,D60,0,0,0,Y
050549622,,,,,,,,,,,,,N
050569387,2003,200308,CULEBRA RANGE COMMUNITY COALITION INC,TRINIDAD,CO,81082-3335,03,15,C34,227216,16855,16855,Y
050578497,2005,200508,DON KRIZ YOUTH FARM INC,GLENWOOD SPGS,CO,81602-1699,03,15,P32,479948,470003,438981,Y
050584997,,,,,,,,,,,,,N
050623909,,,,,,,,,,,,,N
060805216,,,,,,,,,,,,,N
